Item,Interact,Attacked,action
0,0,0,SEARCH
0,1,0,SEARCH
0,0,0,SEARCH
0,1,0,SEARCH
0,0,0,SEARCH
0,1,0,SEARCH
0,0,0,SEARCH
0,1,0,SEARCH
0,0,0,SEARCH
0,1,0,SEARCH
1,0,0,CARRY
1,1,0,CARRY
1,0,0,CARRY
1,1,0,CARRY
1,0,0,CARRY
1,1,0,CARRY
1,0,0,CARRY
1,1,0,CARRY
1,0,0,CARRY
1,1,0,CARRY
1,1,0,TRADE
1,1,0,TRADE
1,1,0,TRADE
1,1,0,TRADE
1,1,0,TRADE
1,1,0,TRADE
1,1,0,TRADE
1,1,0,TRADE
1,1,0,TRADE
1,1,0,TRADE
1,0,1,OFFER
1,1,1,OFFER
1,0,1,OFFER
1,1,1,OFFER
1,0,1,OFFER
1,1,1,OFFER
1,0,1,OFFER
1,1,1,OFFER
1,0,1,OFFER
1,1,1,OFFER
0,0,1,PLEAD
0,1,1,PLEAD
0,0,1,PLEAD
0,1,1,PLEAD
0,0,1,PLEAD
0,1,1,PLEAD
0,0,1,PLEAD
0,1,1,PLEAD
0,0,1,PLEAD
0,1,1,PLEAD
0,0,2,RUN
1,1,2,RUN
0,0,2,RUN
1,1,2,RUN
0,0,2,RUN
1,1,2,RUN
0,0,2,RUN
1,1,2,RUN
0,0,2,RUN
1,1,2,RUN
